ts_start,ts_end,price
2026-01-11 08:30:00,2026-01-11 08:45:00,0.085680
2026-01-11 08:15:00,2026-01-11 08:30:00,0.082460
2026-01-11 08:00:00,2026-01-11 08:15:00,0.081130
2026-01-11 07:45:00,2026-01-11 08:00:00,0.082200
2026-01-11 07:30:00,2026-01-11 07:45:00,0.081640
2026-01-11 07:15:00,2026-01-11 07:30:00,0.079090
2026-01-11 07:00:00,2026-01-11 07:15:00,0.078980
2026-01-11 06:45:00,2026-01-11 07:00:00,0.083560
2026-01-11 06:30:00,2026-01-11 06:45:00,0.082200
2026-01-11 06:15:00,2026-01-11 06:30:00,0.081640
2026-01-11 06:00:00,2026-01-11 06:15:00,0.081640
2026-01-11 05:45:00,2026-01-11 06:00:00,0.078630
2026-01-11 05:30:00,2026-01-11 05:45:00,0.078890
2026-01-11 05:15:00,2026-01-11 05:30:00,0.079870
2026-01-11 05:00:00,2026-01-11 05:15:00,0.079910
2026-01-11 04:45:00,2026-01-11 05:00:00,0.080440
2026-01-11 04:30:00,2026-01-11 04:45:00,0.080440
2026-01-11 04:15:00,2026-01-11 04:30:00,0.080520
2026-01-11 04:00:00,2026-01-11 04:15:00,0.084180
2026-01-11 03:45:00,2026-01-11 04:00:00,0.080400
2026-01-11 03:30:00,2026-01-11 03:45:00,0.082720
2026-01-11 03:15:00,2026-01-11 03:30:00,0.082810
2026-01-11 03:00:00,2026-01-11 03:15:00,0.082840
2026-01-11 02:45:00,2026-01-11 03:00:00,0.081810
2026-01-11 02:30:00,2026-01-11 02:45:00,0.080010
2026-01-11 02:15:00,2026-01-11 02:30:00,0.080580
2026-01-11 02:00:00,2026-01-11 02:15:00,0.080100
2026-01-11 01:45:00,2026-01-11 02:00:00,0.083510
2026-01-11 01:30:00,2026-01-11 01:45:00,0.093700
2026-01-11 01:15:00,2026-01-11 01:30:00,0.097720
2026-01-11 01:00:00,2026-01-11 01:15:00,0.108200
2026-01-11 00:45:00,2026-01-11 01:00:00,0.085840
2026-01-11 00:30:00,2026-01-11 00:45:00,0.097750
2026-01-11 00:15:00,2026-01-11 00:30:00,0.097500
2026-01-11 00:00:00,2026-01-11 00:15:00,0.101760
2026-01-10 23:45:00,2026-01-11 00:00:00,0.099120
2026-01-10 23:30:00,2026-01-10 23:45:00,0.103390
2026-01-10 23:15:00,2026-01-10 23:30:00,0.114160
2026-01-10 23:00:00,2026-01-10 23:15:00,0.114810
2026-01-10 22:45:00,2026-01-10 23:00:00,0.105700
2026-01-10 22:30:00,2026-01-10 22:45:00,0.114820
2026-01-10 22:15:00,2026-01-10 22:30:00,0.114820
2026-01-10 22:00:00,2026-01-10 22:15:00,0.118910
2026-01-10 21:45:00,2026-01-10 22:00:00,0.113410
2026-01-10 21:30:00,2026-01-10 21:45:00,0.119240
2026-01-10 21:15:00,2026-01-10 21:30:00,0.120860
2026-01-10 21:00:00,2026-01-10 21:15:00,0.129430
